sku,brand,product,price,image link
B12AD90118,Krakatau Wear,Moog Softshell Jas,167.97,https://productimage001.bever.nl/productimages/550x825/2210002810080_010_nl.jpg
B12AH90047,tentree,Puffer Bodywarmer,77.97,https://productimage001.bever.nl/productimages/550x825/b12ah90047_5858_010_nl.jpg
ACBCE00009,Craghoppers,Vitor Jas,97.46,https://productimage001.bever.nl/productimages/550x825/acbce00009_7272_01_nl.jpg
AEBAD60005,Sherpa,Namgyal Jas,119.96,https://productimage001.bever.nl/productimages/550x825/2210002270310_010_nl.jpg
B12AH90048,tentree,Sherpa Bodywarmer,67.46,https://productimage001.bever.nl/productimages/550x825/2210002278637_010_nl.jpg
AEBAD60001,Jack Wolfskin,Northern Point Softshell,54.98,https://productimage001.bever.nl/productimages/550x825/aebad60001_4240_001_nl.jpg
B12AD90146,icebreaker,Merinoloft Jas,262.46,https://productimage001.bever.nl/productimages/550x825/b12ad90146_4144_01_nl.jpg
B12AD90109,Didriksons,Franco Usx Softshell Jas,119.97,https://productimage001.bever.nl/productimages/550x825/2210002381214_010_nl.jpg
B12AJE0041,Jack Wolfskin,Morobbia Gevoerde Bodywarmer,59.97,https://productimage001.bever.nl/productimages/550x825/4064993518993_010_nl.jpg
B12AD90185,adidas,Techrock Flooce Windjas,59.98,https://productimage001.bever.nl/productimages/550x825/2210004689691_010_nl.jpg
DABCC90005,AGU,Essential Wind Jas,59.95,https://productimage001.bever.nl/productimages/550x825/dabcc90005_2020_01_nl.jpg
D12AD90022,Rab,Cinder Borealis Softshell Fietsjas,119.95,https://productimage001.bever.nl/productimages/550x825/d12ad90022_4785_31_nl_nl.jpg
B12ABB0181,Ayacucho,Himalaya Recycled Down Dons Bodywarmer,59.97,https://productimage001.bever.nl/productimages/550x825/b12abb0181_4444_01_nl.jpg
EABCC90001,Inov-8,Stormshell Fz Jas,209.95,https://productimage001.bever.nl/productimages/550x825/eabcc90001_4040_01_nl.jpg
DABCC90004,AGU,Essential Wind Body Jas,59.95,https://productimage001.bever.nl/productimages/550x825/dabcc90004_7070_01_nl.jpg
DABCE10005,Gore Wear,Ambient Vest Mens,99.95,https://productimage001.bever.nl/productimages/550x825/dabce10005_9070_01_nl.jpg
C12AD90038,Craft,Softshell Craf Adv Subz Jacket 2,119.95,https://productimage001.bever.nl/productimages/550x825/c12ad90038_7070_01_nl.jpg
DABBF10003,Craft,Softshell Core Bike Subz Jacket M,99.95,https://productimage001.bever.nl/productimages/550x825/dabbf10003_5654_01_nl.jpg
D12AF90015,Craft,Adv Bike Subz Jacket M Windstopper,139.95,https://productimage001.bever.nl/productimages/550x825/d12af90015_4242_01_nl.jpg
C12AF90010,Craft,Adv Essence Wind Jacket M,89.95,https://productimage001.bever.nl/productimages/550x825/c12af90010_4054_01_nl.jpg
C12AF90015,Craft,Adv Charge Warm Jacket M Windstopper,99.95,https://productimage001.bever.nl/productimages/550x825/c12af90015_7373_01_nl.jpg
EABCD80005,Craft,Eaze Jkt M,69.95,https://productimage001.bever.nl/productimages/550x825/eabcd80005_7070_07_nl.jpg
C12AF90018,Craft,Advance Unify Jacket,79.95,https://productimage001.bever.nl/productimages/550x825/c12af90018_4646_01_nl.jpg
C12AE90009,Craft,Adv Essence Hydro Jas,129.95,https://productimage001.bever.nl/productimages/550x825/c12ae90009_3030_01_nl.jpg
