sku,rating,good points,bad points
B12AD90118,10,"Zit lekker en isoleert goed. Waterdichtheid nog niet echt kunnen testen, buitje gaat goed.","Originele prijs is veel te hoog, maar in de aanbieding goed te doen."
B12AD90118,8,"Perfecte pasvorm. Ik zit vaak tussen een M en L in. Deze jas in M is perfect voor mij.  Wind dichtheid is zeker goed. Waterafstotend heb ik nog niet kunnen testen, want geen regen.",De boord bij de pols is niet verstelbaar en voor mij net iets te breed waardoor die iets te veel over mijn hand valt. Niet heel erg maar toch. Wat wel vervelend is is dat de rits last is dicht te ritsen. Denk dat het door de tweewegrits komt.
B12AD90118,9,Kwaliteit  Materiaal Kleur Zit erg comfortabel met zeer mooie afwerking,Iets kleinere capuchon
B12AH90047,9,Kwaliteit.,Extra zakken zou prettig zijn.
AEBAD60005,10,Warm goede pasvorm stoere uitstraling,Het is echt een heren vest maar de rits is een “vrouwen” rits met rechts de loper
AEBAD60005,7,Mooi materiaal (wol),Ietsiepietsie kortere mouwen
AEBAD60001,9,comfortabel en past perfect,nope
B12AD90109,10,Zit lekker,Iets ondiepere binnenzakken
B12AD90109,8,"Goede pasvorm, wind dichtheid, soepel om te dragen. Ritsen zijn goed water afstotend en mooi afgewerkt. Voldoende binnen zakken . Model is voorzien van mouwen met goede lengte evenals de rug.","Persoonlijk had ik een nog betere ventilatie gewenst. Na een fikse wandeling redelijk aan het transpireren. Ritsen in de de oksels voor extra ventilatie zou een oplossing kunnen zijn, die ontbreken namelijk."
B12AJE0041,8,Ik gebruik hem tijdens het golfen. Zit goed en heeft een lichte rek. Ideaal,Geen
B12AJE0041,9,Ik gebruik het als windbreaker. Werkt prima.,Nee
B12AJE0041,9,Kwaliteit,Geen
B12AD90185,10,Alles,Nee
B12ABB0181,8,"Goeie kwaliteit, redelijke prijs.","Geen, prima product."
B12ABB0181,9,"Goed isolerend,",Geen
B12ABB0181,9,"Prima pasvorm. Ik heb normaal maat XL, Ayacucho valt klein wist ik op voorhand, daardoor bewust maat XXL gekocht.  Ruime zakken, pluspunt!",Wellicht iets beter isolatiewaarde. Bodywarmer is niet heel dik.
B12ABB0181,9,"Mooi, slanke bodywarmer",-
B12ABB0181,10,bodywarmer is lekker dun en toch warm,nee
B12ABB0181,8,Goede afwerking en prijs,De donsvulling zou dikker mogen zijn
B12ABB0181,8,Ziet er mooi uit. Binnenzijde is ook erg mooi afgewerkt,Geen
B12ABB0181,9,Licht en goed isolerend.,Nee.
DABCC90004,9,Heerlijke bodywarmer!,"Moet wennen aan de rits, die voor mijn gevoel andersom is."
C12AD90038,9,Duimgaten met lange manchetten en een windblocker aan de voorzijde.,N.v.t.
DABBF10003,9,Sluit goed aan. Lekker bij kouder weer. Gebruik het Jack op mijn speedpedelic.,Een paar zakken had ik wel prettig gevonden.
EABCD80005,9,Draag comfort,Geen sprekende kleur
DABDF00002,10,Mooie afwerking. Stevige rits.,Weinig reflecterende delen.
DABBF10002,9,Kwaliteit en pasvorm,Geen minpunt
DABBF10002,8,Mooie jas met goeie sportieve pasvorm.,Zeker niet warm genoeg voor de winter. Goed voor vroege lente en herfst.
DABBF10002,5,Materiaal/hardshell/winddicht,Wordt verkocht als winterjack. Dat is het zeker niet. Niet isolerend genoeg en doordat het klein valt kan je moeilijk extra laag eronder dragen. Het is meer een voorjaar/najaar jack. Afwerking mouwen matig.
DABBF10002,10,snel bezorg,moet wel passen in de winkel voor de maat
DABBF10002,7,Kwaliteit,"Iets te krap, dus geschikt voor de zomer"
DABBF10002,8,Artikel 'op voorraad' gekocht. Ervaringen volgen als het fiets-seizoen weer open is ;-),nvt
DABBF10002,8,zeer soepel dragende jas,voor winters weer te licht
DABBF10002,9,"Prima jack bij lage temperaturen, wind en zachte regen",Liever iets meer zakken
DABBF10002,10,Zit prima,Geen
DABBF10002,9,Met koud weer toch comfortabel 3 lagen bij 4grC Goede ventilatie geen zweten Mooie ruime zak met rits op de rug,XL kan bij winterweer en 4 lagen te krap zijn
DABBF10002,9,"Goed winddicht fietsjack, perfect bij lagere temperaturen. Ik heb het gebruikt bij een temperatuur van rond de 10 graden met alleen een thermoshirt er onder.",Het Jack is iets minder ademend.
DABBF10002,8,Perfecte pasform,Voorzakken ontbreken. De stof voelt ietswat kunstmatig aan.
DABBF10002,9,"De voering is vrij dun, waardoor ik bang was dat die te koud was. Echter is dit heel erg mee gevallen. Ritten tussen de 5-10 graden gaan prima, ondanks dat ik erg slecht tegen de kou kan. Juist doordat die volledig winddicht is en de mouwen lang zijn en goed aansluiten op handschoenen houdt het de kou goed buiten.","De voorkant van het jack is erg kort. Ik ben 1.87m en de L komt precies bij de middel uit. Had iets langer gemogen. Voor fietsen is de korte voorkant prima, omdat die door de houding goed aansluit, echter kan het jack dus ook alleen voor fietsen worden gebruikt. Met een pullover aan komt de pullover onder het jack uit als ik recht op sta."
DABBF10002,10,"Winddicht , lichtgewicht",Een extra zakje op zij is welkom
DABBF10002,10,Hij valt goed. Is winddicht en kan tegen een beetje regen.,"Geen idee. Weinig zakken, maar het is een fietsjas die ik misbruik voor woonwerkverkeer."
DABAF00003,9,"- Enorme isolatie, ook rond 0C en met veel wind comfortabel. Lange mouwen en wat hogere kraag helpen ook - Super fel gele kleur draagt bij aan zichtbaarheid en veiligheid - Zachte stof voelt comfortabel aan - Prijs na korting is redelijk","- Ontwerp pockets op onderrug vind ik niet ideaal - 1 pocket (niet de gebruikelijke 3) en met 1 lange rits, minder makkelijk spullen verdelen - Maat L valt iets aan de grote kant vergeleken met andere L kleding"
DABCF00001,9,"Het is echt een erg lekker en goed sluitende jas. hij zit zeer comfortabel en met name de sluiting bij de nek/hals en polsen is uitermate goed doordacht. echt een super lekker zittende sluiting, waar ook in racehouding echt geen wind tussendoor komt.","de voorzijde is erg hoog ingesneden, waardoor deze net onder de navel sluit. De lengte aan de voorzijde had dus wel wat langer gemogen. De zakken op de achterzijde zijn erg diep en de opening zit daardoor erg hoog op de rug. Daardoor moet je wel heel ver omhoog rijken om voeding e.d. uit je jas te halen. (De totale lengte is gewoon wat kort, maar een maat groter, sluit hij bij de rest van het lichaam dan echt te ruim."
DABBF00007,8,"Fijn materiaal en een aardige pasvorm.  de jas sluit goed aan bij de nek (zonder dat het irritatie oplevert) en bij de polsen.   werkt goed in combinatie met handschoenen, de mouwen vallen er losjes overheen (zonder dat de wind via de mouwen naar binnen komt).   Blijft goed zitten tijdens het fietsen / mountainbiken.   door de ritsen is het mogelijk om de ventilatie van de jas te regelen.","Af en toe kruipt de jas iets omhoog, waardoor die net niet lekker zit. Dit gebeurt voornamelijk bij bepaalde bewegingen als je niet op de fiets zit.   De kleur wordt vrij snel 'vies'. daar in tegen val je wel goed op. Het is een afweging die je maakt."
DABBF00007,9,Prima winddicht jack voor voor en naseizoen.,Geen
DABBF00007,10,Lekker om in te fietsen op koude dagen. Houd de wind goed tegen en een klein buitje is ook geen probleem. Door goede ventilatie is het Jack niet te heet!,De gele signaal kleur is bij nat weer snel vies door opspattend water.
DABBF00007,9,1. Ideaal voor zowel fietsen als hardlopen. 2. Absoluut winddicht. 3. Voldoet meer dan goed bij regenbui. 4. Zeer handig zijn de afritsbare mouwen. 5. Warm genoeg bij 10 graden Celsius. 6. Middels rits is eigen temperatuur makkelijk regelbaar.,"1. Ritssluiting van mouwen, zijn ietwat moeilijk dicht te ritsen."
DABBF00007,9,Winddicht Goede zichtbaarheid,geel wordt snel vies dus advies hoe schoon te maken zonder het hele jack te hoeven wassen
EABCF00003,8,Goede weersbescherming,De rits lijkt zeer kwetsbaar!!
EABCF00005,6,Windwerend Licht gewicht Goed ademend,Niet winddicht ;) Valt iets te ruim Sluit bij de heup niet goed af Dit jack zit overal een beetje tussenin. Voor een fietsjack is hij te ruim en los. Tegen neerslag kan hij al helemaal niet. Houd er met koud weer rekening mee dat het jack niet helemaal winddicht is.
EABCF00005,10,"Mooie pasvorm , mooi materiaal , functionele kleur",Geen
EABCF00005,10,Fijn en goed zichtbaar jasje,nee
EABCF10002,9,Heel licht ademend jack. Prettig draagcomfort.,"Reflectie zit op de mouwen, dat is prima maar waarom geen goede reflectie op de achterkant van het  jack. Dat zou gebruikelijk moeten zijn bij dit soort jacks."
B12AH90073,5,Lichtgewicht,Batterij haalt maar 50 % Van de vermelde tijdsduur
EABCF00004,9,Lichtgewicht Opvallende kleur Goed winddicht en toch niet warm,De tweede handsluiting (die je echt over je hand kan trekken?) zit vrij krap en maakt de mouw kort.
E12AD90006,10,"Lekker warm, slim fit",Meer ritsen in de zakken ipv klittenband
E12AD90006,10,Houd de kou goed buiten,Niks
E12AD90006,9,Lekkere stof. Pasvorm prima.,Mouwlengte net aan maar ik heb lange armen.
E12AD90006,6,Zit lekker,"De armen zijn veel te warm en dicht, daardoor heb je in no-time zweetarmen, erg onprettig. Ventilatieritsen zouden dit kunnen verhelpen"
B12AH90086,9,Goede combo door korte mouwen,Geen
ADBAD22003,8,"Dik, warm en stevig",Zoals altijd zal dit produkt op de naden de geest geven.
ADBAD22003,9,"Mooi materiaal, mooi afgewerkt, hoge sluiting op de nek houdt kou buiten.",Geen
ADBAD22003,9,"Heerlijke tussenlaag, goede kwaliteit materiaal","beetje stug door het gebruik van de G1000 op de schouder, zal wel veranderen bij gebruik..."
ADBCD52058,8,Lichte en goed draagbare jas. Ruime zakken ideaal als windstopper met de mogelijkheid om laagjes onder de jas te dragen.,Capuchon zou eraf moeten kunnen.
E12ACA0203,8,"Materiaal, kwaliteit, design","Kraag beetje stug, wordt wellicht soepeler bij gebruik"
B12AJE0040,10,Heerlijk warm en goede pasvorm,Ik mis een lusje om hem aan de kapstok te hangen.
B12AJE0040,9,"Goed warm en lichtgewicht. Mooi gemaakt, handige zakken met ritsen. Bedekt rug en billen, waardoor geen koude rug met bukken.",Zou wat mij betreft meer dons in mogen
B12AJE0040,10,Mooi design,Binnenzakken
B12AD90064,9,Perfecte jas voor verschillende activiteiten en weersomstandigheden. Al jarenlang mijn favoriet.,Geen
B12AD90064,9,"Mooi Jack , zit lekker, licht in gewicht .",Pluist nu al op de rug. Na 1 week dragen.
B12AD90064,10,"Lichtgewicht en slim fit soft shell jas die tóch warm houdt, winddicht én waterafstotend is. Heb er veel plezier aan beleefd bij het langlaufen. Geen last gehad van zweten, dus ademt ook. Is de hogere prijs dubbel en dwars waard.",De zwarte jas is vrij sober.
B12AD90064,9,"Mooi, comfort",Nee
B12AD90064,8,"Top kwaliteit, goede afwerking en zeer functioneel voor in de bergen en vrije tijd",De prijs….
B12AD90064,9,Ademend vermogen van deze jas is uitstekend twee dagen in gewandeld en geen moment gezweet. Stretch en pasvorm geven zeer goede bewegingsvrijheid Jas heeft een relatief sportieve pasvorm maar biedt wel ruimte voor het dragen van midlayers (maat L voor 1.94 M 84kg),Geen klitteband bij de mouwen om jas af te sluiten rondom polsen  Geen uitgebreide manieren om de capuchon van de jas af te stellen
B12AD90064,10,Kwaliteit,Geen
B12AD90064,8,Mooie afwerking en goede pasvorm. Geschikt als laag onder een shell.,Duur
B12AD90064,9,Pasvorm was goed en je kan uitstekend bewegen in de jas.,Wel waterafstotend maar niet waterdicht.
B12AD90064,9,"Mooi afgewerkt en winddicht. Lekkere grote zakken en ritsen in de oksels, zodat de warmte goed weg kan.","Prijs, maar is dan ook een kwaliteit product."
B12AD90064,10,mooi materiaal en zit perfect,geen
B12AD90064,9,"Hoge kwaliteit, goede pasvorm, grote insteekzakken",Geen binnen zak
B12AD90064,10,Winddicht Goede prijs/kwaliteit,Het dichtsnoeren van de mouwrevers is niet mogelijk
B12AD90064,7,Kwaliteit,Maar viel iets kleiner uit dan eerdere modellen
AEBAE10006,8,Pasvorm,Iets meer wind blokkerend.
AEBAE10006,10,pasvorm en zakken,neen
B12A000094,8,Was zoals bedchreven,Prijzig
B12A000094,9,Zit prima,Geen
B12A000094,8,Alles,Weet ik niet
